date,average_glucose,median_glucose,min_glucose,max_glucose,reading_count
2018-06-13,146.6884735202492,129.0,40.0,332.0,107
2018-06-14,138.3130787037037,139.83333333333331,40.0,300.0,864
2018-06-15,166.69915674603175,146.0,52.0,366.0,864
2018-06-16,138.56241732804233,127.33333333333331,40.0,294.0,864
2018-06-17,154.51041666666666,143.0,58.0,310.0,864
2018-06-18,158.77546296296296,149.0,40.0,346.0,864
2018-06-19,123.96469907407408,106.66666666666669,40.0,351.0,864
2018-06-20,131.96238425925927,117.0,40.0,367.0,864
2018-06-21,148.06944444444446,129.0,51.0,400.0,864
2018-06-22,148.43055555555554,132.0,40.0,400.0,864
2018-06-23,154.94907407407408,130.0,40.0,444.0,864
2018-06-24,128.73259860788863,126.0,40.0,292.0,862
2018-06-25,177.25173611111111,168.0,63.0,331.0,576
2018-06-26,152.14634146341464,154.0,57.0,333.0,574
2018-06-27,219.05902777777777,226.99999999999994,116.0,333.0,288
2018-07-09,165.44097893558563,156.66666666666666,42.0,337.0,317
2018-07-10,163.86284722222223,151.5,40.0,411.0,864
2018-07-11,148.46527777777777,136.0,43.0,316.0,864
2018-07-12,154.39814814814815,140.5,41.0,379.0,864
2018-07-13,152.5474537037037,139.0,42.0,367.0,864
2018-07-14,141.07696759259258,128.16666666666669,46.0,382.0,864
2018-07-15,161.01736111111111,167.16666666666669,40.0,367.5,864
2018-07-16,189.77951388888889,171.0,50.0,406.0,864
2018-07-17,175.06258322237017,158.0,47.0,438.0,751
2018-07-18,157.33159722222223,161.33333333333331,40.0,300.0,576
2018-07-19,209.10069444444446,229.5,74.0,331.0,576
2018-07-20,144.87755102040816,136.0,43.0,351.0,490
2018-07-21,155.08333333333334,157.83333333333331,95.0,230.0,288
2018-07-22,181.1048951048951,184.0,45.0,254.0,286
2018-09-19,190.73727116704808,203.5,53.0,262.0,228
2018-09-20,194.07143835934596,212.0,40.0,356.0,576
2018-09-21,213.4401439666932,221.83333333333331,71.0,384.0,576
2018-09-22,184.83086774728724,201.10169491525426,40.42857142857143,363.0,576
2018-09-23,167.1496675531915,148.9219696969697,58.0,355.0,576
2018-09-24,185.58910331915558,181.6818181818182,45.0,305.0,576
2018-09-25,196.71119414630965,208.22972972972974,81.0,385.0,576
