hour,average_glucose,median_glucose,min_glucose,max_glucose,reading_count
0,142.56045336760377,131.69154228855723,40.0,438.0,12842
1,138.74320522293786,129.66666666666666,40.0,404.0,12852
2,137.45632602729833,130.0,40.0,416.3333333333333,12852
3,138.16650360906945,130.0,40.0,430.0,12852
4,139.11753142073738,129.66666666666666,40.0,444.0,12852
5,138.29663279423835,126.66666666666669,40.0,427.0,12852
6,136.67720379570974,126.0,40.0,370.0,12852
7,135.2329687022028,124.33333333333331,40.0,400.0,12852
8,136.35131066096628,126.0,40.0,400.0,12852
9,140.17807742304052,132.0,40.0,411.0,12852
10,147.36170561367334,141.0,40.0,407.0,12852
11,148.14432034462934,140.66666666666666,40.0,401.0,12853
12,140.53152399848508,130.63247863247864,40.0,384.0,12863
13,133.1497560014259,125.0,40.0,386.9090909090909,12861
14,130.8088896614485,121.66666666666669,40.0,416.0,12898
15,136.6987360529487,128.02564102564102,40.0,406.0,12911
16,136.9603327341682,127.0,40.0,383.0,12955
17,138.7481425966655,129.0,40.0,400.0,12960
18,146.16859418566958,137.66666666666666,40.0,400.0,12961
19,152.55864638444638,146.0,40.0,403.0,12960
20,150.6396501570805,143.0,40.0,384.0,12951
21,150.6667408304754,141.56,40.0,398.0,12949
22,151.33381732959703,140.0,40.0,415.0,12960
23,147.3728319495764,137.33333333333334,40.0,396.6666666666667,12948
