hour,avg_glucose,record_count,hypoglycemia_count,hyperglycemia_count
0,142.56045336760377,12842,750,2845
1,138.74320522293786,12852,821,2405
2,137.45632602729833,12852,952,2399
3,138.16650360906945,12852,1089,2579
4,139.11753142073738,12852,1097,2760
5,138.29663279423835,12852,1201,2788
6,136.67720379570974,12852,1239,2616
7,135.2329687022028,12852,1267,2532
8,136.35131066096628,12852,1111,2453
9,140.17807742304052,12852,724,2553
10,147.36170561367334,12852,600,3122
11,148.14432034462934,12853,526,3355
12,140.53152399848508,12863,654,2812
13,133.1497560014259,12861,800,2088
14,130.8088896614485,12898,876,1977
15,136.6987360529487,12911,1055,2471
16,136.9603327341682,12955,1068,2627
17,138.7481425966655,12960,790,2671
18,146.16859418566958,12961,536,3096
19,152.55864638444638,12960,449,3484
20,150.6396501570805,12951,524,3487
21,150.6667408304754,12949,784,3462
22,151.33381732959703,12960,687,3413
23,147.3728319495764,12948,777,3128
